codigo_datasus;codigo_cid10;descricao
X576;X57.6;Privação não especificada - áreas industriais e em construção
X577;X57.7;Privação não especificada - fazenda
X578;X57.8;Privação não especificada - outros locais especificados
X579;X57.9;Privação não especificada - local não especificado
X580;X58.0;Exposição a outros fatores especificados - residência
X581;X58.1;Exposição a outros fatores especificados - habitação coletiva
X582;X58.2;Exposição a outros fatores especificados - escolas, outras instituições e áreas de administração pública
X583;X58.3;Exposição a outros fatores especificados - área para a prática de esportes e atletismo
X584;X58.4;Exposição a outros fatores especificados - rua e estrada
X585;X58.5;Exposição a outros fatores especificados - áreas de comércio e de serviços
X586;X58.6;Exposição a outros fatores especificados - áreas industriais e em construção
X587;X58.7;Exposição a outros fatores especificados - fazenda
X588;X58.8;Exposição a outros fatores especificados - outros locais especificados
X589;X58.9;Exposição a outros fatores especificados - local não especificado
X590;X59.0;Exposição a fator não especificado causando fratura
X599;X59.9;Exposição a fator não especificado causando outro tr|aumatismo e traumatismo não especificado
X600;X60.0;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - residência
X601;X60.1;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - habitação coletiva
X602;X60.2;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - escolas, outras instituições e áreas de administração pública
X603;X60.3;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - área para a prática de esportes e atletismo
X604;X60.4;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - rua e estrada
X605;X60.5;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas de comércio e de serviços
X606;X60.6;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas industriais e em construção
X607;X60.7;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - fazenda
X608;X60.8;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - outros locais especificados
X609;X60.9;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - local não especificado
X610;X61.0;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - residência
X611;X61.1;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - habitação coletiva
X612;X61.2;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - escolas, outras instituições e áreas de administração pública
X613;X61.3;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - área para a prática de esportes e atletismo
X614;X61.4;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - rua e estrada
X615;X61.5;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - áreas de comércio e de serviços
X616;X61.6;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - áreas industriais e em construção
X617;X61.7;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - fazenda
X618;X61.8;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - outros locais especificados
X619;X61.9;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - local não especificado
X620;X62.0;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - residência
X621;X62.1;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - habitação coletiva
X622;X62.2;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - escolas, outras instituições e áreas de administração pública
X623;X62.3;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - área para a prática de esportes e atletismo
X624;X62.4;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - rua e estrada
X625;X62.5;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas de comércio e de serviços
X626;X62.6;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas industriais e em construção
X627;X62.7;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - fazenda
X628;X62.8;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - outros locais especificados
X629;X62.9;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - local não especificado
X630;X63.0;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - residência
X631;X63.1;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - habitação coletiva
X632;X63.2;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - escolas, outras instituições e áreas de administração pública
X633;X63.3;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - área para a prática de esportes e atletismo
X634;X63.4;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - rua e estrada
X635;X63.5;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - áreas de comércio e de serviços
X636;X63.6;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - áreas industriais e em construção
X637;X63.7;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - fazenda
X638;X63.8;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - outros locais especificados
X639;X63.9;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - local não especificado
X640;X64.0;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - residência
X641;X64.1;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - habitação coletiva
X642;X64.2;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - escolas, outras instituições e áreas de administração pública
X643;X64.3;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - área para a prática de esportes e atletismo
X644;X64.4;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - rua e estrada
X645;X64.5;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - áreas de comércio e de serviços
X646;X64.6;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - áreas industriais e em construção
X647;X64.7;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - fazenda
X648;X64.8;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - outros locais especificados
X649;X64.9;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - local não especificado
X650;X65.0;Auto-intoxicação voluntária por álcool - residência
X651;X65.1;Auto-intoxicação voluntária por álcool - habitação coletiva
X652;X65.2;Auto-intoxicação voluntária por álcool - escolas, outras instituições e áreas de administração pública
X653;X65.3;Auto-intoxicação voluntária por álcool - área para a prática de esportes e atletismo
X654;X65.4;Auto-intoxicação voluntária por álcool - rua e estrada
X655;X65.5;Auto-intoxicação voluntária por álcool - áreas de comércio e de serviços
X656;X65.6;Auto-intoxicação voluntária por álcool - áreas industriais e em construção
X657;X65.7;Auto-intoxicação voluntária por álcool - fazenda
X658;X65.8;Auto-intoxicação voluntária por álcool - outros locais especificados
X659;X65.9;Auto-intoxicação voluntária por álcool - local não especificado
X660;X66.0;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - residência
X661;X66.1;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - habitação coletiva
X662;X66.2;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - escolas, outras instituições e áreas de administração pública
X663;X66.3;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - área para a prática de esportes e atletismo
X664;X66.4;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - rua e estrada
X665;X66.5;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - áreas de comércio e de serviços
X666;X66.6;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - áreas industriais e em construção
X667;X66.7;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - fazenda
X668;X66.8;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - outros locais especificados
X669;X66.9;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - local não especificado
X670;X67.0;Auto-intoxicação intencional por outros gases e vapores - residência
X671;X67.1;Auto-intoxicação intencional por outros gases e vapores - habitação coletiva
X672;X67.2;Auto-intoxicação intencional por outros gases e vapores - escolas, outras instituições e áreas de administração pública
X673;X67.3;Auto-intoxicação intencional por outros gases e vapores - área para a prática de esportes e atletismo
X674;X67.4;Auto-intoxicação intencional por outros gases e vapores - rua e estrada
X675;X67.5;Auto-intoxicação intencional por outros gases e vapores - áreas de comércio e de serviços
X676;X67.6;Auto-intoxicação intencional por outros gases e vapores - áreas industriais e em construção
X677;X67.7;Auto-intoxicação intencional por outros gases e vapores - fazenda
X678;X67.8;Auto-intoxicação intencional por outros gases e vapores - outros locais especificados
X679;X67.9;Auto-intoxicação intencional por outros gases e vapores - local não especificado
X680;X68.0;Auto-intoxicação por e exposição, intencional, a pesticidas - residência
X681;X68.1;Auto-intoxicação por e exposição, intencional, a pesticidas - habitação coletiva
X682;X68.2;Auto-intoxicação por e exposição, intencional, a pesticidas - escolas, outras instituições e áreas de administração pública
X683;X68.3;Auto-intoxicação por e exposição, intencional, a pesticidas - área para a prática de esportes e atletismo
X684;X68.4;Auto-intoxicação por e exposição, intencional, a pesticidas - rua e estrada
X685;X68.5;Auto-intoxicação por e exposição, intencional, a pesticidas - áreas de comércio e de serviços
X686;X68.6;Auto-intoxicação por e exposição, intencional, a pesticidas - áreas industriais e em construção
X687;X68.7;Auto-intoxicação por e exposição, intencional, a pesticidas - fazenda
X688;X68.8;Auto-intoxicação por e exposição, intencional, a pesticidas - outros locais especificados
X689;X68.9;Auto-intoxicação por e exposição, intencional, a pesticidas - local não especificado
X690;X69.0;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - residência
X691;X69.1;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - habitação coletiva
X692;X69.2;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - escolas, outras instituições e áreas de administração pública
X693;X69.3;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - área para a prática de esportes e atletismo
X694;X69.4;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - rua e estrada
X695;X69.5;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - áreas de comércio e de serviços
X696;X69.6;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - áreas industriais e em construção
X697;X69.7;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - fazenda
X698;X69.8;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - outros locais especificados
X699;X69.9;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - local não especificado
X700;X70.0;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - residência
X701;X70.1;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - habitação coletiva
X702;X70.2;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - escolas, outras instituições e áreas de administração pública
X703;X70.3;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - área para a prática de esportes e atletismo
X704;X70.4;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - rua e estrada
X705;X70.5;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - áreas de comércio e de serviços
X706;X70.6;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - áreas industriais e em construção
X707;X70.7;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - fazenda
X708;X70.8;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - outros locais especificados
X709;X70.9;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - local não especificado
X710;X71.0;Lesão autoprovocada intencionalmente por afogamento e submersão - residência
X711;X71.1;Lesão autoprovocada intencionalmente por afogamento e submersão - habitação coletiva
X712;X71.2;Lesão autoprovocada intencionalmente por afogamento e submersão - escolas, outras instituições e áreas de administração pública
X713;X71.3;Lesão autoprovocada intencionalmente por afogamento e submersão - área para a prática de esportes e atletismo
X714;X71.4;Lesão autoprovocada intencionalmente por afogamento e submersão - rua e estrada
X715;X71.5;Lesão autoprovocada intencionalmente por afogamento e submersão - áreas de comércio e de serviços
X716;X71.6;Lesão autoprovocada intencionalmente por afogamento e submersão - áreas industriais e em construção
X717;X71.7;Lesão autoprovocada intencionalmente por afogamento e submersão - fazenda
X718;X71.8;Lesão autoprovocada intencionalmente por afogamento e submersão - outros locais especificados
X719;X71.9;Lesão autoprovocada intencionalmente por afogamento e submersão - local não especificado
X720;X72.0;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - residência
X721;X72.1;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - habitação coletiva
X722;X72.2;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - escolas, outras instituições e áreas de administração pública
X723;X72.3;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - área para a prática de esportes e atletismo
X724;X72.4;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - rua e estrada
X725;X72.5;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - áreas de comércio e de serviços
X726;X72.6;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - áreas industriais e em construção
X727;X72.7;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - fazenda
X728;X72.8;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - outros locais especificados
X729;X72.9;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - local não especificado
X730;X73.0;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - residência
X731;X73.1;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - habitação coletiva
X732;X73.2;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - escolas, outras instituições e áreas de administração pública
X733;X73.3;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - área para a prática de esportes e atletismo
X734;X73.4;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - rua e estrada
X735;X73.5;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - áreas de comércio e de serviços
X736;X73.6;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - áreas industriais e em construção
X737;X73.7;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - fazenda
X738;X73.8;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - outros locais especificados
X739;X73.9;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - local não especificado
X740;X74.0;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - residência
X741;X74.1;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - habitação coletiva
X742;X74.2;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - escolas, outras instituições e áreas de administração pública
X743;X74.3;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - área para a prática de esportes e atletismo
X744;X74.4;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - rua e estrada
X745;X74.5;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - áreas de comércio e de serviços
X746;X74.6;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - áreas industriais e em construção
X747;X74.7;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - fazenda
X748;X74.8;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - outros locais especificados
X749;X74.9;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - local não especificado
X750;X75.0;Lesão autoprovocada intencionalmente por dispositivos explosivos - residência
X751;X75.1;Lesão autoprovocada intencionalmente por dispositivos explosivos - habitação coletiva
X752;X75.2;Lesão autoprovocada intencionalmente por dispositivos explosivos - escolas, outras instituições e áreas de administração pública
X753;X75.3;Lesão autoprovocada intencionalmente por dispositivos explosivos - área para a prática de esportes e atletismo
X754;X75.4;Lesão autoprovocada intencionalmente por dispositivos explosivos - rua e estrada
X755;X75.5;Lesão autoprovocada intencionalmente por dispositivos explosivos - áreas de comércio e de serviços
X756;X75.6;Lesão autoprovocada intencionalmente por dispositivos explosivos - áreas industriais e em construção
X757;X75.7;Lesão autoprovocada intencionalmente por dispositivos explosivos - fazenda
X758;X75.8;Lesão autoprovocada intencionalmente por dispositivos explosivos - outros locais especificados
X759;X75.9;Lesão autoprovocada intencionalmente por dispositivos explosivos - local não especificado
X760;X76.0;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - residência
X761;X76.1;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - habitação coletiva
X762;X76.2;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - escolas, outras instituições e áreas de administração pública
X763;X76.3;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - área para a prática de esportes e atletismo
X764;X76.4;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - rua e estrada
X765;X76.5;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - áreas de comércio e de serviços
X766;X76.6;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - áreas industriais e em construção
X767;X76.7;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - fazenda
X768;X76.8;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - outros locais especificados
X769;X76.9;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - local não especificado
X770;X77.0;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - residência
X771;X77.1;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - habitação coletiva
X772;X77.2;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - escolas, outras instituições e áreas de administração pública
X773;X77.3;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - área para a prática de esportes e atletismo
X774;X77.4;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - rua e estrada
X775;X77.5;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - áreas de comércio e de serviços
X776;X77.6;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - áreas industriais e em construção
X777;X77.7;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - fazenda
X778;X77.8;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - outros locais especificados
X779;X77.9;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - local não especificado
X780;X78.0;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - residência
X781;X78.1;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - habitação coletiva
X782;X78.2;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - escolas, outras instituições e áreas de administração pública
X783;X78.3;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - área para a prática de esportes e atletismo
X784;X78.4;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - rua e estrada
X785;X78.5;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - áreas de comércio e de serviços
X786;X78.6;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - áreas industriais e em construção
X787;X78.7;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - fazenda
X788;X78.8;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - outros locais especificados
X789;X78.9;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - local não especificado
X790;X79.0;Lesão autoprovocada intencionalmente por objeto contundente - residência
X791;X79.1;Lesão autoprovocada intencionalmente por objeto contundente - habitação coletiva
X792;X79.2;Lesão autoprovocada intencionalmente por objeto contundente - escolas, outras instituições e áreas de administração pública
X793;X79.3;Lesão autoprovocada intencionalmente por objeto contundente - área para a prática de esportes e atletismo
X794;X79.4;Lesão autoprovocada intencionalmente por objeto contundente - rua e estrada
X795;X79.5;Lesão autoprovocada intencionalmente por objeto contundente - áreas de comércio e de serviços
X796;X79.6;Lesão autoprovocada intencionalmente por objeto contundente - áreas industriais e em construção
X797;X79.7;Lesão autoprovocada intencionalmente por objeto contundente - fazenda
X798;X79.8;Lesão autoprovocada intencionalmente por objeto contundente - outros locais especificados
X799;X79.9;Lesão autoprovocada intencionalmente por objeto contundente - local não especificado
X800;X80.0;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - residência
X801;X80.1;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - habitação coletiva
X802;X80.2;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - escolas, outras instituições e áreas de administração pública
X803;X80.3;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - área para a prática de esportes e atletismo
X804;X80.4;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - rua e estrada
X805;X80.5;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - áreas de comércio e de serviços
X806;X80.6;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - áreas industriais e em construção
X807;X80.7;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - fazenda
X808;X80.8;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - outros locais especificados
X809;X80.9;Lesão autoprovocada intencionalmente por precipitação de um lugar elevado - local não especificado
X810;X81.0;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - residência
X811;X81.1;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - habitação coletiva
X812;X81.2;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - escolas, outras instituições e áreas de administração pública
X813;X81.3;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - área para a prática de esportes e atletismo
X814;X81.4;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - rua e estrada
X815;X81.5;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - áreas de comércio e de serviços
X816;X81.6;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - áreas industriais e em construção
X817;X81.7;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - fazenda
X818;X81.8;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - outros locais especificados
X819;X81.9;Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - local não especificado
X820;X82.0;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - residência
X821;X82.1;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - habitação coletiva
X822;X82.2;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - escolas, outras instituições e áreas de administração pública
X823;X82.3;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - área para a prática de esportes e atletismo
X824;X82.4;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - rua e estrada
X825;X82.5;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - áreas de comércio e de serviços
X826;X82.6;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - áreas industriais e em construção
X827;X82.7;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - fazenda
X828;X82.8;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - outros locais especificados
X829;X82.9;Lesão autoprovocada intencionalmente por impacto de um veículo a motor - local não especificado
X830;X83.0;Lesão autoprovocada intencionalmente por outros meios especificados - residência
X831;X83.1;Lesão autoprovocada intencionalmente por outros meios especificados - habitação coletiva
X832;X83.2;Lesão autoprovocada intencionalmente por outros meios especificados - escolas, outras instituições e áreas de administração pública
X833;X83.3;Lesão autoprovocada intencionalmente por outros meios especificados - área para a prática de esportes e atletismo
X834;X83.4;Lesão autoprovocada intencionalmente por outros meios especificados - rua e estrada
X835;X83.5;Lesão autoprovocada intencionalmente por outros meios especificados - áreas de comércio e de serviços
X836;X83.6;Lesão autoprovocada intencionalmente por outros meios especificados - áreas industriais e em construção
X837;X83.7;Lesão autoprovocada intencionalmente por outros meios especificados - fazenda
X838;X83.8;Lesão autoprovocada intencionalmente por outros meios especificados - outros locais especificados
X839;X83.9;Lesão autoprovocada intencionalmente por outros meios especificados - local não especificado
X840;X84.0;Lesão autoprovocada intencionalmente por meios não especificados - residência
X841;X84.1;Lesão autoprovocada intencionalmente por meios não especificados - habitação coletiva
X842;X84.2;Lesão autoprovocada intencionalmente por meios não especificados - escolas, outras instituições e áreas de administração pública
X843;X84.3;Lesão autoprovocada intencionalmente por meios não especificados - área para a prática de esportes e atletismo
X844;X84.4;Lesão autoprovocada intencionalmente por meios não especificados - rua e estrada
X845;X84.5;Lesão autoprovocada intencionalmente por meios não especificados - áreas de comércio e de serviços
X846;X84.6;Lesão autoprovocada intencionalmente por meios não especificados - áreas industriais e em construção
X847;X84.7;Lesão autoprovocada intencionalmente por meios não especificados - fazenda
X848;X84.8;Lesão autoprovocada intencionalmente por meios não especificados - outros locais especificados
X849;X84.9;Lesão autoprovocada intencionalmente por meios não especificados - local não especificado
X850;X85.0;Agressão por meio de drogas, medicamentos e substâncias biológicas - residência
